,날짜,종가,전월대비 등락률,외국인순매수,개인순매수,기관순매수,시가총액대비,환율,환율 차분
162,2018-07-01,2295.260009765625,-0.0132709154699266,3722,326,-3683,36.6,1116.6700439453125,-0.0034536874919929967
163,2018-08-01,2322.8798828125,0.0120334397538235,16478,-4922,-17958,36.1,1115.449951171875,-0.0010926170895807182
164,2018-09-01,2343.070068359375,0.0086918767071283,-3589,-333,6351,36.1,1112.31005859375,-0.002814911215717277
165,2018-10-01,2029.68994140625,-0.1337476549186404,-39888,6876,-586,36.7,1137.699951171875,0.02282627256848189
166,2018-11-01,2096.860107421875,0.0330938064210373,3536,-3717,-2179,36.1,1117.02001953125,-0.018176964514522366
167,2018-12-01,2041.0400390625,-0.0266207879876196,-593,-12341,11752,35.8,1119.5999755859375,0.00230967754344292
168,2019-01-01,2204.85009765625,0.0802581308836018,32169,-23459,-8431,36.9,1109.0,-0.009467645424331178
169,2019-02-01,2195.43994140625,-0.0042679347044966,1350,-8264,5417,36.8,1115.0999755859375,0.005500428842143823
170,2019-03-01,2140.669921875,-0.0249471727731108,3005,5902,-16229,37.1,1134.3199462890625,0.01723609642536825
171,2019-04-01,2203.590087890625,0.0293927454077149,23820,-17479,-6541,37.4,1158.7900390625,0.02157247860578633
172,2019-05-01,2041.739990234375,-0.0734483688893246,-17476,19843,-4388,37.2,1188.3800048828125,0.025535226247070414
173,2019-06-01,2130.6201171875,0.0435315600312664,7083,-19701,15120,37.6,1155.510009765625,-0.027659498630178355
174,2019-07-01,2024.550048828125,-0.0497836604018324,20336,-11605,-7248,38.5,1180.6500244140625,0.021756639437105967
175,2019-08-01,1967.7900390625,-0.0280358639681343,-16919,-2270,4332,38.3,1207.1600341796875,0.02245374092020325
176,2019-09-01,2063.050048828125,0.0484096412089823,-8616,-15092,16299,38.5,1201.9100341796875,-0.004349050541229672
177,2019-10-01,2083.47998046875,0.0099027804256274,-5571,-8314,9630,38.3,1163.699951171875,-0.031791134045978046
178,2019-11-01,2087.9599609375,0.002150239268314,-23179,7946,7608,38.1,1177.010009765625,0.011437706584370343
179,2019-12-01,2197.669921875,0.0525440923149886,6002,-19209,27627,38.2,1160.6800537109375,-0.013874101255892668
180,2020-01-01,2119.010009765625,-0.0357924141957879,3199,25715,-50741,39.0,1187.1199951171875,0.02277969826544013
181,2020-02-01,1987.010009765625,-0.0622932404243809,-2507,28109,-6259,38.9,1211.31005859375,0.020377100525692485
182,2020-03-01,1754.6400146484375,-0.1169445518518532,-31787,32403,-10795,37.8,1222.699951171875,0.009402953849279435
183,2020-04-01,1947.56005859375,0.1099485035874816,-28972,10534,-4300,36.7,1220.4000244140625,-0.0018810230225397295
